# This is a modified file with test data.
# This file was originall produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#  It has since been modified.
#  Tue Jul  9 17:39:41 2019
#  User preference: *
kepoi_name,kepler_name,koi_teq

K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K05773.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K06897.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K07408.01,,574.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00222.01,Kepler-120 b,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00266.02,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K00437.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01560.01,,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K01977.01,Kepler-345 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K02175.02,Kepler-368 c,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03593.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K03598.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K05078.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K06784.01,,575.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K00701.05,Kepler-62 c,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K01563.04,Kepler-305 d,576.0
K02062.01,Kepler-1077 b,576.0
K02062.01,Kepler-1077 b,576.0
K02062.01,Kepler-1077 b,576.0
K02062.01,Kepler-1077 b,576.0
K02062.01,Kepler-1077 b,576.0
K02062.01,Kepler-1077 b,576.0
