# This is a modified file with test data.
# This file was originall produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#  It has since been modified.
#  Tue Jul  9 17:39:41 2019
#  User preference: *
kepoi_name,kepler_name,koi_teq

# This is a modified file with test data.
# This file was originall produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# It has since been modified.
# Tue Jul  9 17:39:41 2019
# User preference: *
kepoi_name,kepler_name,koi_teq
K00005.02,,
K00065.01,,
K00099.02,,
K00111.04,,
K00129.02,,
K00142.02,,
K00154.01,,
K00245.04,Kepler-37 e,
K00302.02,,
K00364.01,,
K00383.01,,
K00439.02,,
K00445.01,,
K00539.01,,
K00562.01,,
K00594.01,,
K00595.01,,
K00651.02,,
K00736.03,,
K00860.01,,
K00879.01,,
K00885.01,,
K00962.01,,
K00966.02,,
K00973.01,,
K01010.01,,
K01019.01,,
K01026.01,,
K01027.01,,
K01042.02,,
K01046.01,,
K01109.01,,
K01132.02,,
K01134.02,,
K01136.01,,
K01149.01,,
K01198.04,,
K01219.01,,
K01229.01,,
K01312.02,,
K01316.02,,
K01356.01,,
K01372.01,,
K01408.02,,
K01445.03,,
K01541.02,,
K01545.02,,
K01617.01,,
K01677.02,,
K01686.01,,
K01739.01,,
K01747.02,,
K01922.02,,
K01926.01,,
K01927.01,,
K01940.02,,
K02160.02,,
K02176.01,,
K02311.01,,
K02311.02,,
K02323.01,,
K02326.01,,
K02334.01,,
K02339.02,,
K02360.02,,
K02394.01,,
K02410.01,,
K02410.02,,
K02432.02,,
K02473.02,,
K02502.01,,
K02515.01,,
K02533.02,,
K02570.02,,
K02631.02,,
K02640.01,,
K02843.01,,
K02902.01,,
K02918.02,,
K02940.01,,
K02988.01,,
K03035.01,,
K03046.01,,
K03076.01,,
K03079.01,,
K03080.01,,
K03118.01,,
K03139.01,,
K03143.01,,
K03149.01,,
K03180.01,,
K03233.01,,
K03283.01,,
K03376.02,,
K03504.02,,
K03610.02,,
K03628.01,,
K03641.02,,
K03644.02,,
K03691.02,,
K03716.01,,
K03716.02,,
K03722.01,,
K03729.02,,
K03773.01,,
K03827.02,,
K04030.02,,
K04073.01,,
K04134.01,,
K04229.01,,
K04298.02,,
K04369.01,,
K04396.01,,
K04396.02,,
K04396.03,,
K04396.04,,
K04568.02,,
K04616.01,,
K04716.02,,
K04883.01,,
K04889.01,,
K04932.01,,
K04952.01,,
K04955.01,,
K04956.01,,
K04957.01,,
K04960.01,,
K04969.01,,
K04979.01,,
K04993.01,,
K04995.01,,
K04996.01,,
K05000.01,,
K05006.01,,
K05008.01,,
K05022.01,,
K05031.01,,
K05035.01,,
K05051.01,,
K05056.01,,
K05062.01,,
K05074.01,,
K05080.01,,
K05103.01,,
K05112.01,,
K05118.01,,
K05136.01,,
K05137.01,,
K05140.01,,
K05143.01,,
K05154.01,,
K05159.01,,
K05160.01,,
K05161.01,,
K05166.01,,
K05177.01,,
